00001	24433
00002	32
00003	204
00004	694596
00005	465499
00006	7287
00007	1424676
00008	1851804
00009	1106236
00010	321
00011	1431491
00012	1083114
00013	1431496
00014	1517984
00015	1348902
00016	571907
00017	158777
00018	265946
00019	410196
00020	1175087
00021	1587317
00022	553995
00023	172110
00024	717965
00025	1175068
00026	435435
00027	1190481
00028	1613809
00029	1630870
00030	435437
00031	540488
00032	1127857
00033	874214
00034	1280437
00035	923935
00036	871141
00037	1030966
00038	1448046
00039	779611
00040	765749
00041	1336931
00042	1093306
00043	270292
00044	562089
00045	1301014
00046	1120966
00047	246806
00048	867029
00049	490176
00050	1205664
00051	679116
00052	1278930
00053	881881
00054	1486002
00055	644397
00056	1106858
00057	1671350
00058	568245
00059	1336272
00060	773577
00061	606658
00062	1538433
00063	568249
00064	430408
00065	772406
00066	1553944
00067	973800
00068	973819
00069	928023
00070	1007705
00071	1007703
00072	1200283
00073	159243
00074	976648
00075	466071
00076	1248379
00077	765963
00078	1022907
00079	855280
00080	169903
00081	754484
00082	384164
00083	1173895
00084	247192
00085	632463
00086	953617
00087	1191077
00088	1024920
00089	783828
00090	579853
00091	1297497
00092	313732
00093	1471059
00094	572388
00095	1433658
00096	572394
00097	1552685
00098	228391
00099	1328710
00100	1328721
00101	1599971
00102	572406
00103	1525308
00104	1525317
00105	916549
00106	916560
00107	950852
00108	1228140
00109	611031
00110	923246
00111	1358252
00112	1047877
00113	1222708
00114	1575195
00115	1575203
00116	1010086
00117	817414
00118	1712490
00119	204717
00120	621313
00121	417284
00122	417287
00123	1341615
00124	1341607
00125	433942
00126	1604204
00127	1178838
00128	1345602
00129	1155843
00130	596380
00131	493628
00132	523207
00133	1069989
00134	483855
00135	350323
00136	335533
00137	228403
00138	186830
00139	192203
00140	1016698
00141	501458
00142	270113
00143	1397615
00144	388434
00145	923275
00146	1123664
00147	568257
00148	1711738
00149	1199264
00150	194021
00151	1709252
00152	1501517
00153	1242604
00154	1657909
00155	1699451
00156	373564
00157	377736
00158	1364789
00159	1364806
00160	192185
00161	1039389
00162	479892
00163	1108987
00164	758510
00165	1131144
00166	1173078
00167	1307066
00168	1307074
00169	1359854
00170	678781
00171	514957
00172	1009463
00173	1405805
00174	1405821
00175	1357282
00176	720933
00177	1601645
00178	1601649
00179	405339
00180	746244
00181	611981
00182	327915
00183	937742
00184	746265
00185	746272
00186	1174646
00187	685214
00188	1566787
00189	948375
00190	706303
00191	908532
00192	1108959
00193	1306955
00194	1122544
00195	1320594
00196	868045
00197	982330
00198	1060915
00199	215571
00200	1259610
00201	787958
00202	215575
00203	595452
00204	989308
00205	463752
00206	1108339
00207	320021
00208	627602
00209	1719628
00210	725110
00211	809486
00212	839096
00213	1627967
00214	1227846
00215	256069
00216	262486
00217	1646329
00218	329748
00219	1138372
00220	183810
00221	604203
00222	1155192
00223	60435
00224	1356795
00225	830815
00226	405586
00227	1366594
00228	1208026
00229	615653
00230	1564298
00231	748138
00232	538609
00233	373575
00234	514819
00235	1360661
00236	779608
00237	1152657
00238	1266904
00239	1171579
00240	1027534
00241	928010
00242	258042
00243	522756
